Luminosity,teff_gspphot,bp_rp,phot_g_mean_mag
2.06E+02,4000,1.28,0.2
8.38E+00,4620,1.05,3.1
4.01E-01,4620,1.05,6.4
1.21E-01,4620,1.05,7.7

1.46E+06,3900,1.32,-9.3
2.53E+05,3900,1.32,-7.4
2.53E+04,3900,1.32,-4.9
2.77E+03,3900,1.32,-2.5
2.53E+02,3900,1.32,0.1
9.22E+00,4480,1.1,3.1
3.35E-01,4480,1.1,6.7
1.01E-01,4480,1.1,8

1.65E+06,3800,1.36,-9.3
2.62E+05,3800,1.36,-7.3
3.15E+04,3800,1.36,-5
3.15E+03,3800,1.36,-2.5
3.45E+02,3800,1.36,-0.1
1.03E+01,4340,1.15,3.1
3.10E-01,4340,1.15,6.9
9.36E-02,4340,1.15,8.2

1.90E+06,3700,1.41,-9.3
3.01E+05,3700,1.41,-7.3
3.96E+04,3700,1.41,-5.1
3.62E+03,3700,1.41,-2.5
4.35E+02,3700,1.41,-0.2
1.06E+01,4200,1.2,3.2
2.66E-01,4200,1.2,7.2
8.80E-02,4200,1.2,8.4

1.85E+06,3717,1.4,-9.3
2.94E+05,3717,1.4,-7.3
4.24E+04,3717,1.4,-5.2
3.53E+03,3717,1.4,-2.5
4.65E+02,3717,1.4,-0.3
1.22E+01,4060,1.26,3.2
2.11E-01,4060,1.26,7.6
7.67E-02,4060,1.26,8.7

1.81E+06,3733,1.39,-9.3
2.62E+05,3733,1.39,-7.2
4.55E+04,3733,1.39,-5.3
3.45E+03,3733,1.39,-2.5
4.99E+02,3733,1.39,-0.4
1.42E+01,3920,1.31,3.2
1.87E-01,3920,1.31,7.9
6.80E-02,3920,1.31,9

1.77E+06,3750,1.38,-9.3
2.56E+05,3750,1.38,-7.2
4.44E+04,3750,1.38,-5.3
3.69E+03,3750,1.38,-2.6
5.34E+02,3750,1.38,-0.5
1.70E+01,3780,1.37,3.2
1.55E-01,3780,1.37,8.3
5.62E-02,3780,1.37,9.4

1.83E+06,3725,1.39,-9.3
2.65E+05,3725,1.39,-7.2
5.04E+04,3725,1.39,-5.4
3.83E+03,3725,1.39,-2.6
6.06E+02,3725,1.39,-0.6
2.07E+01,3640,1.43,3.2
1.44E-01,3640,1.43,8.6
4.33E-02,3640,1.43,9.9

1.90E+06,3700,1.41,-9.3
2.74E+05,3700,1.41,-7.2
5.73E+04,3700,1.41,-5.5
3.96E+03,3700,1.41,-2.6
6.89E+02,3700,1.41,-0.7
2.60E+01,3500,1.49,3.2
1.25E-01,3500,1.49,9
3.76E-02,3500,1.49,10.3

2.56E+06,3510,1.49,-9.3
3.37E+05,3510,1.49,-7.1
7.73E+04,3510,1.49,-5.5
5.86E+03,3510,1.49,-2.7
9.29E+02,3510,1.49,-0.7
3.55E+01,3333,1.57,3.2
6.18E-02,3333,1.57,10.1
1.86E-02,3333,1.57,11.4

3.65E+06,3320,1.58,-9.3
4.81E+05,3320,1.58,-7.1
1.10E+05,3320,1.58,-5.5
8.36E+03,3320,1.58,-2.7
1.21E+03,3320,1.58,-0.6
5.09E+01,3167,1.65,3.2
3.21E-02,3167,1.65,11.2
8.85E-03,3167,1.65,12.6

5.07E+06,3130,1.67,-9.2
7.33E+05,3130,1.67,-7.1
1.68E+05,3130,1.67,-5.5
1.40E+04,3130,1.67,-2.8
1.84E+03,3130,1.67,-0.6
7.76E+01,3000,1.74,3.2
1.78E-02,3000,1.74,12.3
4.90E-03,3000,1.74,13.7

8.38E+06,2940,1.77,-9.2
1.10E+06,2940,1.77,-7
2.77E+05,2940,1.77,-5.5
2.31E+04,2940,1.77,-2.8
2.77E+03,2940,1.77,-0.5
1.27E+02,2833,1.83,3.2
1.06E-02,2833,1.83,13.4
2.66E-03,2833,1.83,14.9

1.53E+07,2750,1.88,-9.2
2.02E+06,2750,1.88,-7
5.07E+05,2750,1.88,-5.5
4.62E+04,2750,1.88,-2.9
5.07E+03,2750,1.88,-0.5
2.07E+02,2667,1.93,3.3
6.24E-03,2667,1.93,14.6
1.72E-03,2667,1.93,16

2.88E+07,2560,2,-9.1
4.17E+06,2560,2,-7
9.55E+05,2560,2,-5.4
9.55E+04,2560,2,-2.9
9.55E+03,2560,2,-0.4
4.10E+02,2500,2.03,3.3
4.50E-03,2500,2.03,15.7
1.63E-03,2500,2.03,16.8

6.96E+07,2370,2.12,-9.1
9.18E+06,2370,2.12,-6.9
2.10E+06,2370,2.12,-5.3
2.53E+05,2370,2.12,-3
2.10E+04,2370,2.12,-0.3
9.26E+02,2333,2.14,3.3
3.69E-03,2333,2.14,16.8
1.94E-03,2333,2.14,17.5

2.05E+08,2180,2.25,-9.1
2.70E+07,2180,2.25,-6.9
5.15E+06,2180,2.25,-5.1
7.44E+05,2180,2.25,-3
5.15E+04,2180,2.25,-0.1
2.44E+03,2167,2.26,3.3
3.53E-03,2167,2.26,17.9
2.44E-03,2167,2.26,18.3

7.11E+08,1990,2.4,-9
1.03E+08,1990,2.4,-6.9
1.79E+07,1990,2.4,-5
2.83E+06,1990,2.4,-3
1.79E+05,1990,2.4,0
7.91E+03,2000,2.39,3.3
4.15E-03,2000,2.39,19
4.15E-03,2000,2.39,19

1.90E+06,3700,1.41,-9.3
2.74E+05,3700,1.41,-7.2
5.73E+04,3700,1.41,-5.5
3.96E+03,3700,1.41,-2.6
6.89E+02,3700,1.41,-0.7
2.60E+01,3500,1.49,3.2
1.25E-01,3500,1.49,9
3.76E-02,3500,1.49,10.3

2.56E+06,3510,1.49,-9.3
3.37E+05,3510,1.49,-7.1
7.73E+04,3510,1.49,-5.5
5.86E+03,3510,1.49,-2.7
9.29E+02,3510,1.49,-0.7
3.55E+01,3333,1.57,3.2
